text,pred,label,prob,anger,disgust,fear,joy,neutral,sadness,surprise
THE PREFACE,4,neutral,0.9038863778114319,0.011054682545363903,0.03212825581431389,0.005983132869005203,0.009743486531078815,0.9038863778114319,0.0073557584546506405,0.029848333448171616
 The artist is the creator of beautiful things.,4,neutral,0.7753602862358093,0.014125457033514977,0.03097658045589924,0.0017074404750019312,0.14421135187149048,0.7753602862358093,0.006646709982305765,0.026972120627760887
To reveal art and conceal the artist is art’s aim.,1,disgust,0.5847333669662476,0.1815290004014969,0.5847333669662476,0.013848447240889072,0.006903213448822498,0.19817402958869934,0.013042001985013485,0.0017700586467981339
The critic is he who can translate into another manner or a new material his impression of beautiful things.,4,neutral,0.6914022564888,0.01732676289975643,0.099561907351017,0.0026905941776931286,0.021502533927559853,0.6914022564888,0.007351348642259836,0.16016452014446259
The highest as the lowest form of criticism is a mode of autobiography.,1,disgust,0.48648643493652344,0.08389416337013245,0.48648643493652344,0.0026581198908388615,0.009033421985805035,0.3931554853916168,0.012392578646540642,0.012379837222397327
Those who find ugly meanings in beautiful things are corrupt without being charming.,1,disgust,0.9286834597587585,0.05273672565817833,0.9286834597587585,0.0018564644269645214,0.0008495631627738476,0.009443432092666626,0.006020135711878538,0.0004102256498299539
This is a fault.,0,anger,0.689917802810669,0.689917802810669,0.10253878682851791,0.006036021746695042,0.001737707993015647,0.10158903896808624,0.08655937761068344,0.01162117999047041
Those who find beautiful meanings in beautiful things are the cultivated.,4,neutral,0.5240226984024048,0.058349575847387314,0.11998021602630615,0.0017200140282511711,0.2772059440612793,0.5240226984024048,0.008982091210782528,0.00973941944539547
For these there is hope.,4,neutral,0.8333067893981934,0.0029408512637019157,0.003264500992372632,0.0023475976195186377,0.1362694799900055,0.8333067893981934,0.012171362526714802,0.009699401445686817
They are the elect to whom beautiful things mean only beauty.,4,neutral,0.9386264681816101,0.009795941412448883,0.025356130674481392,0.0029755712021142244,0.010499869473278522,0.9386264681816101,0.004260281100869179,0.008485688827931881
There is no such thing as a moral or an immoral book.,1,disgust,0.963907778263092,0.02023516781628132,0.963907778263092,0.003532016882672906,0.0007244754233397543,0.00735110929235816,0.0037273899652063847,0.0005220111925154924
"Books are well written, or badly written.",4,neutral,0.7344182729721069,0.020188698545098305,0.16876481473445892,0.0025046190712600946,0.05247864872217178,0.7344182729721069,0.017389681190252304,0.004255284555256367
That is all.,4,neutral,0.9562002420425415,0.010596674866974354,0.013968382030725479,0.0017329398542642593,0.005120431073009968,0.9562002420425415,0.0034695325884968042,0.00891176238656044
The nineteenth century dislike of realism is the rage of Caliban seeing his own face in a glass.,0,anger,0.9227672815322876,0.9227672815322876,0.047557417303323746,0.0027643232606351376,0.0006614039884880185,0.02047710306942463,0.0036726731341332197,0.0020997608080506325
The nineteenth century dislike of romanticism is the rage of Caliban not seeing his own face in a glass.,0,anger,0.9050499796867371,0.9050499796867371,0.051576271653175354,0.002387054031714797,0.0008455012575723231,0.03322587162256241,0.0046751718036830425,0.0022400596644729376
"The moral life of man forms part of the subject-matter of the artist, but the morality of art consists in the perfect use of an imperfect medium.",1,disgust,0.4749913811683655,0.02550343982875347,0.4749913811683655,0.009252567775547504,0.013421226292848587,0.45077306032180786,0.02241073176264763,0.0036475402303040028
No artist desires to prove anything.,4,neutral,0.6252772808074951,0.11453548073768616,0.20390765368938446,0.00985597912222147,0.013722681440412998,0.6252772808074951,0.025220517069101334,0.007480449043214321
Even things that are true can be proved.,4,neutral,0.7941142320632935,0.08763293921947479,0.05514172837138176,0.009471557103097439,0.01860266551375389,0.7941142320632935,0.009718723595142365,0.025318153202533722
No artist has ethical sympathies.,4,neutral,0.8967796564102173,0.015489967539906502,0.05279592424631119,0.003459430066868663,0.004772369749844074,0.8967796564102173,0.020316174253821373,0.006386486813426018
An ethical sympathy in an artist is an unpardonable mannerism of style.,1,disgust,0.7526288032531738,0.18951532244682312,0.7526288032531738,0.004382059443742037,0.0008873044280335307,0.02121596224606037,0.02977369725704193,0.001596854068338871
No artist is ever morbid.,5,sadness,0.4206739664077759,0.0058163804933428764,0.2775815725326538,0.03707293048501015,0.005834260955452919,0.23879781365394592,0.4206739664077759,0.014223170466721058
The artist can express everything.,4,neutral,0.8634949326515198,0.013205802999436855,0.037641264498233795,0.005086114630103111,0.03422393277287483,0.8634949326515198,0.012750295922160149,0.0335976779460907
Thought and language are to the artist instruments of an art.,1,disgust,0.5611355900764465,0.23487694561481476,0.5611355900764465,0.009203951805830002,0.009942268952727318,0.1662285476922989,0.012564157135784626,0.006048586685210466
Vice and virtue are to the artist materials for an art.,1,disgust,0.8393834829330444,0.04644499719142914,0.8393834829330444,0.002305476227775216,0.006077734287828207,0.0995960608124733,0.004698556382209063,0.0014938240638002753
"From the point of view of form, the type of all the arts is the art of the musician.",4,neutral,0.9056841731071472,0.010013571940362453,0.04468201845884323,0.008093410171568394,0.0049707964062690735,0.9056841731071472,0.007305399049073458,0.019250698387622833
