text,pred,label,prob,anger,disgust,fear,joy,neutral,sadness,surprise
﻿                                  I,3,joy,0.46768349409103394,0.018739139661192894,0.004092247225344181,0.030335746705532074,0.46768349409103394,0.08185482025146484,0.2329835146665573,0.1643110066652298
"In my younger and more vulnerable years my father gave me some advice
that I’ve been turning over in my mind ever since.",2,fear,0.939293622970581,0.0063971965573728085,0.013795875944197178,0.939293622970581,0.00269500445574522,0.016906293109059334,0.019932305440306664,0.0009796179365366697
"“Whenever you feel like criticizing anyone,” he told me, “just
remember that all the people in this world haven’t had the advantages
that you’ve had.”",4,neutral,0.48554742336273193,0.26747816801071167,0.15183326601982117,0.016220642253756523,0.00906976405531168,0.48554742336273193,0.06146002560853958,0.008390741422772408
"He didn’t say any more, but we’ve always been unusually communicative
in a reserved way, and I understood that he meant a great deal more
than that.",4,neutral,0.9229958653450012,0.008914297446608543,0.03754027560353279,0.0019662119448184967,0.009068758226931095,0.9229958653450012,0.012046793475747108,0.007467782590538263
"In consequence, I’m inclined to reserve all judgements, a
habit that has opened up many curious natures to me and also made me
the victim of not a few veteran bores.",4,neutral,0.7953147888183594,0.010029438883066177,0.055069368332624435,0.01810755953192711,0.007745546754449606,0.7953147888183594,0.05505665764212608,0.05867662653326988
"The abnormal mind is quick to
detect and attach itself to this quality when it appears in a normal
person, and so it came about that in college I was unjustly accused of
being a politician, because I was privy to the secret griefs of wild,
unknown men.",0,anger,0.4479774236679077,0.4479774236679077,0.03671436756849289,0.2823640704154968,0.004151726607233286,0.010530995205044746,0.2121342420578003,0.006127241067588329
"Most of the confidences were unsought—frequently I have
feigned sleep, preoccupation, or a hostile levity when I realized by
some unmistakable sign that an intimate revelation was quivering on
the horizon; for the intimate revelations of young men, or at least
the terms in which they express them, are usually plagiaristic and
marred by obvious suppressions.",3,joy,0.341296911239624,0.051258787512779236,0.08813843876123428,0.16901804506778717,0.341296911239624,0.2377309948205948,0.08601599186658859,0.026540840044617653
"Reserving judgements is a matter of
infinite hope.",4,neutral,0.9735971093177795,0.005760678090155125,0.004747502040117979,0.0036517030093818903,0.005829291883856058,0.9735971093177795,0.004282072652131319,0.002131555462256074
"I am still a little afraid of missing something if I
forget that, as my father snobbishly suggested, and I snobbishly
repeat, a sense of the fundamental decencies is parcelled out
unequally at birth.",2,fear,0.4981882870197296,0.011568795889616013,0.026326438412070274,0.4981882870197296,0.04887043684720993,0.2989320456981659,0.09868307411670685,0.017430905252695084
"And, after boasting this way of my tolerance, I come to the admission
that it has a limit.",4,neutral,0.7091455459594727,0.07085629552602768,0.1514158993959427,0.022716959938406944,0.007100096438080072,0.7091455459594727,0.03559138625860214,0.0031738425604999065
"Conduct may be founded on the hard rock or the
wet marshes, but after a certain point I don’t care what it’s founded
on.",1,disgust,0.5181211829185486,0.09402717649936676,0.5181211829185486,0.005157420411705971,0.0017983490834012628,0.3656851649284363,0.011112789623439312,0.0040978859178721905
"When I came back from the East last autumn I felt that I wanted
the world to be in uniform and at a sort of moral attention forever; I
wanted no more riotous excursions with privileged glimpses into the
human heart.",0,anger,0.4929630756378174,0.4929630756378174,0.0061051975935697556,0.02233637124300003,0.02012309804558754,0.40403199195861816,0.007795107550919056,0.04664524644613266
"Only Gatsby, the man who gives his name to this book, was
exempt from my reaction—Gatsby, who represented everything for which I
have an unaffected scorn.",1,disgust,0.3683158755302429,0.17934992909431458,0.3683158755302429,0.003421076573431492,0.041727229952812195,0.3146316111087799,0.0422779805958271,0.0502762533724308
"If personality is an unbroken series of
successful gestures, then there was something gorgeous about him, some
heightened sensitivity to the promises of life, as if he were related
to one of those intricate machines that register earthquakes ten
thousand miles away.",4,neutral,0.5354771614074707,0.01265215314924717,0.022099371999502182,0.19510580599308014,0.10822584480047226,0.5354771614074707,0.013903295621275902,0.11253637820482254
"This responsiveness had nothing to do with that
flabby impressionability which is dignified under the name of the
“creative temperament”—it was an extraordinary gift for hope, a
romantic readiness such as I have never found in any other person and
which it is not likely I shall ever find again.",4,neutral,0.3939096927642822,0.0072459871880710125,0.019721470773220062,0.14475490152835846,0.3463834822177887,0.3939096927642822,0.009821146726608276,0.07816340029239655
"No—Gatsby turned out
all right at the end; it is what preyed on Gatsby, what foul dust
floated in the wake of his dreams that temporarily closed out my
interest in the abortive sorrows and short-winded elations of men.",5,sadness,0.4994189143180847,0.16364121437072754,0.2642786502838135,0.030369900166988373,0.004063756670802832,0.03312157839536667,0.4994189143180847,0.005105977412313223
"My family have been prominent, well-to-do people in this Middle
Western city for three generations.",3,joy,0.5799790620803833,0.026018192991614342,0.045448657125234604,0.00601432379335165,0.5799790620803833,0.2893312871456146,0.04424282908439636,0.00896565429866314
"The Carraways are something of a
clan, and we have a tradition that we’re descended from the Dukes of
Buccleuch, but the actual founder of my line was my grandfather’s
brother, who came here in fifty-one, sent a substitute to the Civil
War, and started the wholesale hardware business that my father
carries on today.",4,neutral,0.7122874855995178,0.0603209026157856,0.01923229545354843,0.006291740108281374,0.054432597011327744,0.7122874855995178,0.028179695829749107,0.11925527453422546
"I never saw this great-uncle, but I’m supposed to look like him—with
special reference to the rather hard-boiled painting that hangs in
father’s office.",4,neutral,0.7112178802490234,0.020921828225255013,0.031211409717798233,0.01429450698196888,0.01802230067551136,0.7112178802490234,0.061295535415410995,0.14303648471832275
"I graduated from New Haven in 1915, just a quarter of
a century after my father, and a little later I participated in that
delayed Teutonic migration known as the Great War.",2,fear,0.8834004402160645,0.00708817457780242,0.01332026720046997,0.8834004402160645,0.04490001127123833,0.020279385149478912,0.02530130371451378,0.005710399243980646
"I enjoyed the
counter-raid so thoroughly that I came back restless.",2,fear,0.9168318510055542,0.005596930626779795,0.0041092997416853905,0.9168318510055542,0.051010314375162125,0.012732748873531818,0.007786108646541834,0.0019327860791236162
"Instead of being
the warm centre of the world, the Middle West now seemed like the
ragged edge of the universe—so I decided to go East and learn the bond
business.",4,neutral,0.6228904128074646,0.09333284199237823,0.025827791541814804,0.04943994805216789,0.10849747806787491,0.6228904128074646,0.08416048437356949,0.015850968658924103
"Everybody I knew was in the bond business, so I supposed it
could support one more single man.",4,neutral,0.7214317321777344,0.03962568938732147,0.03940049931406975,0.005925671197474003,0.04451872035861015,0.7214317321777344,0.018975770100951195,0.13012194633483887
"All my aunts and uncles talked it
over as if they were choosing a prep school for me, and finally said,
“Why—ye-es,” with very grave, hesitant faces.",2,fear,0.4944722056388855,0.04872409999370575,0.0137803815305233,0.4944722056388855,0.03347652032971382,0.29249152541160583,0.011852223426103592,0.1052030473947525
"Father agreed to finance
me for a year, and after various delays I came East, permanently, I
thought, in the spring of twenty-two.",3,joy,0.7574789524078369,0.019201958552002907,0.009896955452859402,0.028817065060138702,0.7574789524078369,0.09651440382003784,0.07555264979600906,0.01253800094127655
"The practical thing was to find rooms in the city, but it was a warm
season, and I had just left a country of wide lawns and friendly
trees, so when a young man at the office suggested that we take a
house together in a commuting town, it sounded like a great idea.",4,neutral,0.5046331882476807,0.013829736970365047,0.042740631848573685,0.0126614049077034,0.32405227422714233,0.5046331882476807,0.02087504416704178,0.08120778203010559
"He
found the house, a weather-beaten cardboard bungalow at eighty a
month, but at the last minute the firm ordered him to Washington, and
I went out to the country alone.",5,sadness,0.5493322014808655,0.18446888029575348,0.02861996367573738,0.03389691933989525,0.00512290932238102,0.08284421265125275,0.5493322014808655,0.11571492999792099
"I had a dog—at least I had him for a
few days until he ran away—and an old Dodge and a Finnish woman, who
made my bed and cooked breakfast and muttered Finnish wisdom to
herself over the electric stove.",4,neutral,0.47838348150253296,0.09402075409889221,0.2896958589553833,0.04061806946992874,0.028545573353767395,0.47838348150253296,0.039834439754486084,0.02890179306268692
"It was lonely for a day or so until one morning some man, more
recently arrived than I, stopped me on the road.",2,fear,0.8238881826400757,0.012035705149173737,0.019414864480495453,0.8238881826400757,0.0018239845521748066,0.03977598249912262,0.0638333186507225,0.039227984845638275
“How do you get to West Egg village?” he asked helplessly.,2,fear,0.9755281805992126,0.0032825502566993237,0.0023974713403731585,0.9755281805992126,0.0006988949608057737,0.00605520186945796,0.00814433116465807,0.003893295070156455
I told him.,4,neutral,0.6087279319763184,0.0939408391714096,0.10001879185438156,0.020717201754450798,0.07148554176092148,0.6087279319763184,0.03463250771164894,0.0704772025346756
And as I walked on I was lonely no longer.,5,sadness,0.8973358869552612,0.0032664656173437834,0.01496293768286705,0.06123554706573486,0.0024328019935637712,0.018931439146399498,0.8973358869552612,0.0018349948804825544
"I was a guide,
a pathfinder, an original settler.",4,neutral,0.7297044992446899,0.010915747843682766,0.02382083423435688,0.0476260632276535,0.04069177806377411,0.7297044992446899,0.0061954315751791,0.14104565978050232
"He had casually conferred on me the
freedom of the neighbourhood.",1,disgust,0.5689473748207092,0.11338042467832565,0.5689473748207092,0.01155088935047388,0.14052748680114746,0.14814147353172302,0.010728991590440273,0.006723410449922085
"And so with the sunshine and the great bursts of leaves growing on the
trees, just as things grow in fast movies, I had that familiar
conviction that life was beginning over again with the summer.",4,neutral,0.5806342363357544,0.013062989339232445,0.009302746504545212,0.06599747389554977,0.1662205010652542,0.5806342363357544,0.1096019297838211,0.05518012493848801
"There was so much to read, for one thing, and so much fine health to
be pulled down out of the young breath-giving air.",4,neutral,0.8807559013366699,0.004060903564095497,0.019771814346313477,0.0024479571729898453,0.056032419204711914,0.8807559013366699,0.009708940051496029,0.0272220429033041
"I bought a dozen
volumes on banking and credit and investment securities, and they
stood on my shelf in red and gold like new money from the mint,
promising to unfold the shining secrets that only Midas and Morgan and
Maecenas knew.",4,neutral,0.6991777420043945,0.014982428401708603,0.006995568051934242,0.011757911182940006,0.1264723390340805,0.6991777420043945,0.013320543803274632,0.12729349732398987
"And I had the high intention of reading many other
books besides.",4,neutral,0.5944606065750122,0.006659931503236294,0.0056478651240468025,0.005880270153284073,0.3543393909931183,0.5944606065750122,0.012915984727442265,0.020095929503440857
"I was rather literary in college—one year I wrote a
series of very solemn and obvious editorials for the Yale News—and now
I was going to bring back all such things into my life and become
again that most limited of all specialists, the “well-rounded man.”
This isn’t just an epigram—life is much more successfully looked at
from a single window, after all.",3,joy,0.3976465165615082,0.008082461543381214,0.0234258770942688,0.008975975215435028,0.3976465165615082,0.1325838714838028,0.17459358274936676,0.2546916902065277
"It was a matter of chance that I should have rented a house in one of
the strangest communities in North America.",6,surprise,0.8924775719642639,0.005681698210537434,0.022841328755021095,0.023177193477749825,0.009848939254879951,0.04376206547021866,0.00221124361269176,0.8924775719642639
"It was on that slender
riotous island which extends itself due east of New York—and where
there are, among other natural curiosities, two unusual formations of
land.",6,surprise,0.7732706069946289,0.011174061335623264,0.007169981021434069,0.03704693168401718,0.018716566264629364,0.1462123692035675,0.006409458816051483,0.7732706069946289
"Twenty miles from the city a pair of enormous eggs, identical in
contour and separated only by a courtesy bay, jut out into the most
domesticated body of salt water in the Western hemisphere, the great
wet barnyard of Long Island Sound.",4,neutral,0.5586307048797607,0.016739636659622192,0.2708114981651306,0.03611323982477188,0.018253406509757042,0.5586307048797607,0.040213003754615784,0.05923846364021301
"They are not perfect ovals—like the
egg in the Columbus story, they are both crushed flat at the contact
end—but their physical resemblance must be a source of perpetual
wonder to the gulls that fly overhead.",4,neutral,0.3911448121070862,0.09386764466762543,0.09002533555030823,0.11483591794967651,0.007724580354988575,0.3911448121070862,0.1949007213115692,0.10750098526477814
"To the wingless a more
interesting phenomenon is their dissimilarity in every particular
except shape and size.",6,surprise,0.613380491733551,0.007881118915975094,0.014745716005563736,0.008631356991827488,0.021057384088635445,0.3278743624687195,0.006429573055356741,0.613380491733551
"I lived at West Egg, the—well, the less fashionable of the two, though
this is a most superficial tag to express the bizarre and not a little
sinister contrast between them.",1,disgust,0.7521421313285828,0.012925981543958187,0.7521421313285828,0.06724999845027924,0.018084675073623657,0.04884525015950203,0.03453190624713898,0.06622001528739929
"My house was at the very tip of the
egg, only fifty yards from the Sound, and squeezed between two huge
places that rented for twelve or fifteen thousand a season.",6,surprise,0.738572895526886,0.01796913892030716,0.013816853985190392,0.05673262104392052,0.0042755794711411,0.15604309737682343,0.01258984487503767,0.738572895526886
"The one on
my right was a colossal affair by any standard—it was a factual
imitation of some Hôtel de Ville in Normandy, with a tower on one
side, spanking new under a thin beard of raw ivy, and a marble
swimming pool, and more than forty acres of lawn and garden.",6,surprise,0.27113455533981323,0.06020236760377884,0.15180793404579163,0.06919887661933899,0.27113455533981323,0.16213101148605347,0.015336503274738789,0.27018874883651733
"It was
Gatsby’s mansion.",4,neutral,0.8038892149925232,0.008038155734539032,0.009867836721241474,0.007978127337992191,0.013952264562249184,0.8038892149925232,0.021075589582324028,0.13519883155822754
"Or, rather, as I didn’t know Mr. Gatsby, it was a
mansion inhabited by a gentleman of that name.",4,neutral,0.871618390083313,0.005119671579450369,0.009023034945130348,0.004622186534106731,0.004243108443915844,0.871618390083313,0.0070458222180604935,0.09832777082920074
"My own house was an
eyesore, but it was a small eyesore, and it had been overlooked, so I
had a view of the water, a partial view of my neighbour’s lawn, and
the consoling proximity of millionaires—all for eighty dollars a
month.",4,neutral,0.26420140266418457,0.04156872257590294,0.05388481169939041,0.053783074021339417,0.2571086287498474,0.2600467801094055,0.06940657645463943,0.26420140266418457
"Across the courtesy bay the white palaces of fashionable East Egg
glittered along the water, and the history of the summer really begins
on the evening I drove over there to have dinner with the Tom
Buchanans.",4,neutral,0.43177109956741333,0.029666900634765625,0.0230124332010746,0.02876143530011177,0.23761382699012756,0.43177109956741333,0.04406718909740448,0.20510710775852203
"Daisy was my second cousin once removed, and I’d known Tom
in college.",4,neutral,0.4991021156311035,0.007624342106282711,0.02362365648150444,0.0023889048025012016,0.39734646677970886,0.4991021156311035,0.03318062052130699,0.03673377260565758
"And just after the war I spent two days with them in
Chicago.",4,neutral,0.8017218112945557,0.004929375369101763,0.021528132259845734,0.010451353155076504,0.06969055533409119,0.8017218112945557,0.04244685173034668,0.0492318794131279
"Her husband, among various physical accomplishments, had been one of
the most powerful ends that ever played football at New Haven—a
national figure in a way, one of those men who reach such an acute
limited excellence at twenty-one that everything afterward savours of
anticlimax.",4,neutral,0.5493119955062866,0.019067054614424706,0.04431398957967758,0.020298589020967484,0.15348362922668457,0.5493119955062866,0.020759889855980873,0.19276490807533264
"His family were enormously wealthy—even in college his
freedom with money was a matter for reproach—but now he’d left Chicago
and come East in a fashion that rather took your breath away: for
instance, he’d brought down a string of polo ponies from Lake
Forest.",0,anger,0.34894222021102905,0.34894222021102905,0.25712913274765015,0.022590119391679764,0.007218558341264725,0.25179627537727356,0.04408974573016167,0.06823395937681198
"It was hard to realize that a man in my own generation was
wealthy enough to do that.",6,surprise,0.8179994225502014,0.0154219726100564,0.10463503748178482,0.010494783520698547,0.0031318163964897394,0.03623191639780998,0.012084993533790112,0.8179994225502014
Why they came East I don’t know.,4,neutral,0.6185704469680786,0.0149918207898736,0.022602681070566177,0.026744984090328217,0.00325771770440042,0.6185704469680786,0.01721043698489666,0.2966218590736389
"They had spent a year in France for
no particular reason, and then drifted here and there unrestfully
wherever people played polo and were rich together.",0,anger,0.8359823226928711,0.8359823226928711,0.015134290792047977,0.02005179598927498,0.010480707511305809,0.09728284925222397,0.018231434747576714,0.002836639294400811
"This was a
permanent move, said Daisy over the telephone, but I didn’t believe
it—I had no sight into Daisy’s heart, but I felt that Tom would drift
on forever seeking, a little wistfully, for the dramatic turbulence of
some irrecoverable football game.",2,fear,0.8135514259338379,0.015308303758502007,0.02868611179292202,0.8135514259338379,0.006048165261745453,0.040310461074113846,0.03774813562631607,0.058347418904304504
"And so it happened that on a warm windy evening I drove over to East
Egg to see two old friends whom I scarcely knew at all.",4,neutral,0.46730613708496094,0.018232954666018486,0.03272024169564247,0.04267776757478714,0.1538388580083847,0.46730613708496094,0.05809321999549866,0.22713080048561096
"Their house
was even more elaborate than I expected, a cheerful red-and-white
Georgian Colonial mansion, overlooking the bay.",3,joy,0.9822279810905457,0.0011496091028675437,0.0008596177212893963,0.0001824807986849919,0.9822279810905457,0.0074049318209290504,0.002474200213328004,0.005701182410120964
